ts	imei	mwra	c.katana	c.android.chrome	c.android.gm	c.dogalize	c.android.youtube	c.updateassist	c.UCMobile.intl	c.raider	c.android.vending	c.UCMobile.x86
2018-05-05 10:00:00	3590433799317662188	1.00000	10.99774	11.05477	6.03999	12.49767	8.59956	14.00953	52.54470	43.93493	66.86890	46.35705
2018-05-05 10:01:00	3590433799317662394	1.00000	11.08234	9.64636	8.64167	12.60788	9.84197	38.27736	44.56009	47.40309	9.56533	33.53140
2018-05-05 10:02:00	3590433799317661834	0.00000	11.49582	12.27416	11.59681	12.99258	9.74923	57.41411	36.83333	58.51427	45.83339	20.26636
2018-05-05 10:03:00	8630330696303481289	0.00000	10.50935	11.41774	14.43350	12.91018	13.93857	31.57549	41.34296	60.12589	81.04877	80.43563
2018-05-05 10:04:00	8630330696303481149	0.00000	10.25989	14.46448	14.02728	8.58832	13.04853	49.47100	38.86755	57.83154	28.15473	43.36029
2018-05-05 10:05:00	3590433799317661057	0.00000	9.47163	11.76538	14.78924	11.71933	17.46358	55.05035	51.59548	33.85684	19.54019	15.49344
2018-05-05 10:06:00	8630330696303481305	0.00000	9.51801	9.81249	13.80288	10.16145	15.27814	44.39296	46.66091	37.59129	88.12211	16.73983
2018-05-05 10:07:00	359043379931766403	1.00000	14.38229	14.85788	13.17476	11.22604	16.58567	51.82238	47.19474	38.19306	48.11931	64.01249
2018-05-05 10:08:00	359043379931766122	1.00000	14.25841	10.85821	13.21914	9.23178	12.98172	84.41632	68.92471	64.91307	42.05779	51.22102
2018-05-05 10:09:00	8630330696303482410	0.00000	6.53826	10.18276	11.61314	10.44971	13.87258	47.32371	37.91848	44.48944	87.43628	21.79998
2018-05-05 10:10:00	863033069630348529	1.00000	13.18663	14.78504	12.89556	9.04410	11.28248	50.20950	51.39942	32.30118	52.32516	46.71289
2018-05-05 10:11:00	359043379931766171	0.00000	6.49096	7.47814	11.96090	7.57016	9.84348	47.56948	50.21358	50.85799	30.85826	83.73912
2018-05-05 10:12:00	863033069630348180	1.00000	16.97773	12.89184	17.08320	10.94040	11.95788	45.21181	48.48549	49.02133	32.91791	26.09780
2018-05-05 10:13:00	8630330696303482030	0.00000	11.31844	10.89686	10.04966	9.13331	11.09483	28.19307	52.05655	60.00501	89.34792	28.09209
2018-05-05 10:14:00	359043379931766361	1.00000	10.10021	10.62947	10.04676	11.14767	9.17749	51.30980	56.86740	30.37921	98.12467	48.55257
2018-05-05 10:15:00	3590433799317662246	1.00000	6.81256	9.88613	8.61789	12.55180	9.86011	49.28376	28.52225	66.12545	6.99122	41.76440
2018-05-05 10:16:00	8630330696303481537	1.00000	11.88276	8.89762	11.36449	11.67584	9.68363	48.71912	50.69512	46.44348	71.26874	71.94372
2018-05-05 10:17:00	863033069630348537	1.00000	8.65724	9.23385	13.24598	7.92784	11.40289	41.44075	47.86582	58.62841	68.07269	0.89764
2018-05-05 10:18:00	359043379931766825	1.00000	8.61204	10.60905	8.14385	10.25006	7.44707	63.45516	24.35673	66.95906	73.05110	0.55310
2018-05-05 10:19:00	8630330696303481263	0.00000	12.61678	10.68895	13.84986	8.64181	14.21583	42.94854	61.03878	52.37876	40.24754	73.52706
2018-05-05 10:20:00	3590433799317661255	1.00000	17.40026	13.75935	15.40445	11.75267	18.12374	45.62702	46.03154	65.85905	39.74609	68.75506
2018-05-05 10:21:00	359043379931766239	1.00000	11.56204	9.52730	7.15756	12.72212	8.77721	53.30957	65.02587	51.84939	24.34433	94.17562
2018-05-05 10:22:00	3590433799317662477	0.00000	11.90854	13.53494	12.09395	9.25995	13.64936	47.75860	57.66991	36.03617	88.59796	23.51115
2018-05-05 10:23:00	8630330696303482386	1.00000	12.72744	11.32868	14.12762	16.10743	12.82976	41.35390	44.49088	31.06324	61.45186	29.26929
2018-05-05 10:24:00	8630330696303481321	1.00000	15.26990	13.78257	13.47368	8.30730	12.07450	40.19311	54.01208	23.65861	71.20800	30.49890
2018-05-05 10:25:00	3590433799317661669	0.00000	10.28390	12.88671	12.74688	12.77064	14.07805	42.00265	44.14820	56.08930	87.72047	86.13741
2018-05-05 10:26:00	3590433799317661792	1.00000	13.78620	10.12514	14.31659	9.05743	10.59594	51.52795	77.40815	43.35939	43.29937	88.25460
2018-05-05 10:27:00	8630330696303481354	0.00000	8.87275	12.48278	14.41571	13.03022	12.65443	38.13668	30.15786	46.83446	86.57225	94.55495
2018-05-05 10:28:00	8630330696303481099	1.00000	7.99867	9.49294	9.86598	7.81224	8.15377	55.65212	60.49389	34.97281	77.40221	47.42942
2018-05-05 10:29:00	8630330696303481156	1.00000	7.57247	9.73798	11.27442	8.92357	8.67601	41.26040	56.10000	56.63502	79.43743	88.75279
2018-05-05 10:30:00	8630330696303481008	1.00000	7.48544	9.51081	11.82280	7.98591	12.15908	30.89283	50.47045	44.64516	23.12164	54.84826
2018-05-05 10:31:00	8630330696303481875	0.00000	8.75843	13.28880	10.12878	8.60868	11.87047	61.76065	52.10939	28.43395	17.38176	72.93583
2018-05-05 10:32:00	863033069630348966	1.00000	13.40994	14.63528	13.59987	13.34589	19.57591	47.90584	47.98032	64.74970	20.45230	12.18771
2018-05-05 10:33:00	3590433799317661412	1.00000	15.20905	15.69653	14.38290	10.34096	11.91252	49.60449	67.14527	26.33230	50.56808	36.30172
2018-05-05 10:34:00	3590433799317661719	1.00000	13.55899	17.93725	13.30878	10.05680	17.42445	43.02893	52.71155	56.91486	14.25549	63.22746
2018-05-05 10:35:00	359043379931766684	1.00000	11.13183	9.61626	11.80066	8.08796	10.09043	57.10991	57.13562	55.97028	90.03031	87.64716
2018-05-05 10:36:00	359043379931766262	0.00000	8.37052	12.39779	13.78599	13.05732	12.47772	46.73918	69.82754	48.35472	47.12899	55.56746
2018-05-05 10:37:00	3590433799317661297	0.00000	10.00630	4.82522	17.19139	12.08368	14.21378	35.36226	24.07039	55.41547	99.15140	93.65648
2018-05-05 10:38:00	863033069630348099	0.00000	12.12312	14.54485	11.97636	8.43937	12.86693	38.50123	42.04341	50.07008	67.33228	88.20084
2018-05-05 10:39:00	863033069630348826	1.00000	10.50726	8.00723	11.65609	10.28031	9.18490	27.65430	35.11017	50.30641	96.84595	88.16877
2018-05-05 10:40:00	3590433799317662360	0.00000	8.49969	7.82876	14.40015	9.61911	14.45047	49.71030	60.92363	28.71157	40.97220	5.63384
2018-05-05 10:41:00	863033069630348891	0.00000	10.48257	5.29416	12.01505	15.25858	13.23751	41.56050	29.88707	49.27668	56.71623	72.94579
2018-05-05 10:42:00	359043379931766924	0.00000	12.82048	12.20433	13.21013	11.00864	14.44934	35.19625	57.36488	49.51795	99.54513	65.50959
2018-05-05 10:43:00	3590433799317661529	0.00000	5.33011	12.42553	17.08228	9.35529	12.23111	64.69051	34.95342	49.64920	34.96192	7.81749
2018-05-05 10:44:00	8630330696303482048	0.00000	16.63348	15.50321	15.04610	10.04170	17.02238	31.32325	23.02771	35.13647	54.54321	31.07007
2018-05-05 10:45:00	863033069630348784	1.00000	11.51266	13.54300	12.27746	10.57991	12.14613	42.76437	32.30613	67.13618	39.17094	15.93762
2018-05-05 10:46:00	8630330696303481362	0.00000	9.41798	11.04372	9.45853	11.36225	8.95932	36.31449	26.61205	51.17744	42.07249	36.41642
2018-05-05 10:47:00	359043379931766338	1.00000	10.58132	9.64819	12.75616	9.11556	9.91506	48.24042	46.63379	63.74281	22.13269	7.19298
2018-05-05 10:48:00	359043379931766304	1.00000	14.97936	17.83209	13.71585	8.87352	14.87473	27.97273	40.80645	50.84410	1.79662	99.66529
2018-05-05 10:49:00	359043379931766627	1.00000	7.17980	7.95035	9.59026	10.60362	6.25217	55.23542	71.07104	67.46223	83.00129	2.36368
2018-05-05 10:50:00	8630330696303482113	0.00000	12.19106	14.88994	11.14082	10.13282	13.22131	58.42265	11.64532	25.13951	14.43339	65.09831
2018-05-05 10:51:00	3590433799317662154	1.00000	10.18475	7.46735	12.81343	9.58508	11.02089	47.52384	66.52193	53.06123	12.66519	17.43715
2018-05-05 10:52:00	8630330696303481982	1.00000	8.58597	8.84255	8.54008	9.57807	11.26201	44.26237	61.72100	46.17411	25.75154	0.74463
2018-05-05 10:53:00	8630330696303481461	1.00000	9.31741	7.32173	10.46029	8.93622	13.15489	15.92210	44.02419	51.51326	68.43361	20.30255
2018-05-05 10:54:00	8630330696303482147	0.00000	9.75341	9.70184	15.54668	11.14509	12.78985	79.96258	46.07249	52.33892	54.01644	36.84903
2018-05-05 10:55:00	359043379931766882	1.00000	11.24892	10.98044	10.20704	8.88096	10.69829	64.54406	58.21682	49.05727	66.18447	23.08980
2018-05-05 10:56:00	8630330696303482428	0.00000	10.26060	12.53701	14.40295	16.41653	15.19035	43.90968	51.06733	60.88672	38.89798	24.75510
2018-05-05 10:57:00	8630330696303481008	1.00000	15.45443	14.09265	14.93188	9.39375	13.89535	21.15061	44.70791	61.24429	26.28178	71.60444
2018-05-05 10:58:00	8630330696303481412	1.00000	14.80112	15.87910	15.22583	11.87046	10.70086	41.18666	62.92453	64.36405	16.17819	47.83693
2018-05-05 10:59:00	8630330696303482295	0.00000	10.54795	10.31991	14.16739	12.05033	12.42058	32.43705	56.50990	52.17901	6.39984	87.22370
2018-05-05 11:00:00	863033069630348776	0.00000	9.36019	12.27280	13.80837	8.62644	12.71111	35.15053	42.02175	51.45313	84.67883	24.42871
2018-05-05 11:01:00	3590433799317662121	1.00000	15.91735	15.57000	14.61919	8.17168	12.93077	44.71667	66.72156	31.11305	77.04119	52.17869
2018-05-05 11:02:00	359043379931766452	0.00000	7.45314	13.94995	13.75686	10.18965	10.61924	33.84825	50.08107	27.37141	64.62480	91.17804
2018-05-05 11:03:00	8630330696303481842	1.00000	4.53879	10.20524	8.74849	11.13755	7.68749	50.09050	31.66746	44.05949	20.76106	98.86082
2018-05-05 11:04:00	8630330696303482154	1.00000	5.23329	9.34683	11.71388	8.10918	10.51735	56.47992	38.66533	33.57555	7.92958	34.38078
2018-05-05 11:05:00	863033069630348867	1.00000	15.33258	14.34678	14.67491	11.75487	15.72787	45.63216	27.78047	71.48142	76.33667	73.47305
2018-05-05 11:06:00	3590433799317661016	0.00000	6.65542	9.07908	9.93030	13.07900	18.01256	50.48074	44.23886	76.34474	80.16626	49.70256
2018-05-05 11:07:00	359043379931766601	1.00000	13.25902	13.21597	12.69196	8.79118	11.68495	55.97724	58.06258	48.82990	21.61981	80.05648
2018-05-05 11:08:00	3590433799317661834	1.00000	11.47246	10.20652	8.80196	9.80084	12.28921	33.77517	70.17071	49.11414	30.80607	7.23666
2018-05-05 11:09:00	359043379931766064	1.00000	6.96793	11.30558	9.72240	9.89413	9.17922	60.65195	46.57531	68.29335	81.18286	27.24309
2018-05-05 11:10:00	8630330696303481966	0.00000	9.58385	7.46866	13.85456	12.21698	17.42246	42.16582	52.87070	10.16655	90.72881	46.48131
2018-05-05 11:11:00	3590433799317662311	1.00000	18.80955	20.70588	16.93492	11.08338	16.13929	53.66930	57.22349	50.16370	76.26164	92.50253
