latitude	longitude	store_name	code	location	imei
-6.48167	106.85417	Cibinong	ID	Asia/Jakarta	8630330696303481586
5.20856	-74.73584	Honda	CO	America/Bogota	8630330696303481735
17.54907	82.85749	Elamanchili	IN	Asia/Kolkata	8630330696303482022
-8.43333	114.33333	Muncar	ID	Asia/Jakarta	8630330696303481537
34.61667	135.6	Yao	JP	Asia/Tokyo	3590433799317661586
29.21399	78.95693	Kashipur	IN	Asia/Kolkata	8630330696303481321
35.06544	1.04945	Frenda	DZ	Africa/Algiers	8630330696303481784
-10.95817	-38.79084	Tucano	BR	America/Bahia	8630330696303481263
44.59445	11.04979	Castelfranco Emilia	IT	Europe/Rome	863033069630348586
51.39148	-0.29825	Surbiton	GB	Europe/London	359043379931766551
24.05979	77.40858	Leteri	IN	Asia/Kolkata	3590433799317661206
28.15112	-82.46148	Lutz	US	America/New_York	863033069630348784
50.073658	14.418540	Praha	CZ	Europe/Prague	3590433799317661594
34.14251	-118.25508	Glendale	US	America/Los_Angeles	8630330696303481586
55.82885	-4.21376	Rutherglen	GB	Europe/London	3590433799317662246
41.55838	-81.56929	Collinwood	US	America/New_York	8630330696303482451
22.10194	85.37752	Barbil	IN	Asia/Kolkata	3590433799317661172
26.67319	31.4976	Juhaynah	EG	Africa/Cairo	3590433799317661578
15.79408	104.1451	Yasothon	TH	Asia/Bangkok	359043379931766429
-8.05389	-34.88111	Recife	BR	America/Recife	8630330696303481735
54.8421	46.5813	Alatyr’	RU	Europe/Moscow	863033069630348941
55.64776	38.02486	Malakhovka	RU	Europe/Moscow	3590433799317661628
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	3590433799317661107
37.30553	120.82747	Zhuangyuan	CN	Asia/Shanghai	8630330696303481446
41.24255	-82.61573	Norwalk	US	America/New_York	8630330696303481974
33.93113	-117.54866	Norco	US	America/Los_Angeles	3590433799317662170
36.81667	117.81667	Zhoucun	CN	Asia/Shanghai	359043379931766171
37.51803	15.00913	Misterbianco	IT	Europe/Rome	359043379931766379
15.72892	120.57224	Burgos	PH	Asia/Manila	3590433799317662352
43.61062	-72.97261	Rutland	US	America/New_York	3590433799317661131
20.88197	85.83334	Bhuban	IN	Asia/Kolkata	863033069630348560
39.09112	-94.41551	Independence	US	America/Chicago	8630330696303481156
32.52515	-93.75018	Shreveport	US	America/Chicago	8630330696303481644
9.89206	43.38531	Baki	SO	Africa/Mogadishu	863033069630348644
54.48147	53.47103	Oktyabr’skiy	RU	Asia/Yekaterinburg	3590433799317661370
10.29085	105.75635	Sa Dec	VN	Asia/Ho_Chi_Minh	3590433799317662105
45.50369	11.412	Montecchio Maggiore-Alte Ceccato	IT	Europe/Rome	359043379931766759
41.8542	-87.66561	Lower West Side	US	America/Chicago	863033069630348271
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	3590433799317662386
34.09668	-117.71978	Claremont	US	America/Los_Angeles	3590433799317661172
38.10558	-1.86343	Caravaca	ES	Europe/Madrid	863033069630348602
40.72586	8.55552	Sassari	IT	Europe/Rome	359043379931766809
41.15612	1.10687	Reus	ES	Europe/Madrid	3590433799317661222
38.58894	-89.99038	Fairview Heights	US	America/Chicago	863033069630348693
41.75338	-86.11084	Granger	US	America/Indiana/Indianapolis	3590433799317662303
55.85	37.56667	Likhobory	RU	Europe/Moscow	8630330696303482295
35.8	137.23333	Gero	JP	Asia/Tokyo	359043379931766775
-19.32556	-41.25528	Resplendor	BR	America/Sao_Paulo	863033069630348776
27.0174	49.62251	Al Jubayl	SA	Asia/Riyadh	863033069630348107
14.0823	98.19151	Dawei	MM	Asia/Yangon	863033069630348289
52.31333	6.92917	Oldenzaal	NL	Europe/Amsterdam	8630330696303482360
55.67938	12.53463	Frederiksberg	DK	Europe/Copenhagen	3590433799317661982
50.11861	-5.53715	Penzance	GB	Europe/London	359043379931766163
-32.45242	-71.23106	La Ligua	CL	America/Santiago	3590433799317662303
46.1351	-60.1831	Sydney	CA	America/Glace_Bay	3590433799317662493
59.80917	30.38167	Shushary	RU	Europe/Moscow	8630330696303481842
55.67938	12.53463	Frederiksberg	DK	Europe/Copenhagen	863033069630348784
12.12278	-61.62498	Grenville	GD	America/Grenada	8630330696303481669
24.81757	84.63445	Rafiganj	IN	Asia/Kolkata	8630330696303481107
10.31672	123.89071	Cebu City	PH	Asia/Manila	359043379931766445
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	8630330696303482212
37.95143	-91.77127	Rolla	US	America/Chicago	3590433799317661032
33.4425	129.96972	Karatsu	JP	Asia/Tokyo	8630330696303482352
-21.44345	-65.71875	Tupiza	BO	America/La_Paz	3590433799317661719
60.18427	24.95034	Kallio	FI	Europe/Helsinki	8630330696303482170
12.18441	18.69303	Mongo	TD	Africa/Ndjamena	863033069630348826
12.1277	78.15794	Dharmapuri	IN	Asia/Kolkata	3590433799317661941
33.54428	-84.23381	Stockbridge	US	America/New_York	359043379931766528
36.76775	2.95924	Cheraga	DZ	Africa/Algiers	8630330696303481362
-4.5833	15.16554	Kasangulu	CD	Africa/Kinshasa	359043379931766270
53.14657	140.72287	Nikolayevsk-on-Amure	RU	Asia/Vladivostok	863033069630348479
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	863033069630348651
43.11667	1.6	Pamiers	FR	Europe/Paris	8630330696303481693
34.15429	3.50309	Messaad	DZ	Africa/Algiers	3590433799317661396
33.42585	-6.00137	Oulmes	MA	Africa/Casablanca	8630330696303481842
50.20528	19.27498	Jaworzno	PL	Europe/Warsaw	8630330696303481271
56.85836	35.90057	Tver	RU	Europe/Moscow	863033069630348156
37.58105	29.26639	Serinhisar	TR	Europe/Istanbul	359043379931766759
18.51957	73.85535	Pune	IN	Asia/Kolkata	359043379931766916
55.85	37.56667	Likhobory	RU	Europe/Moscow	359043379931766684
51.04962	12.1369	Zeitz	DE	Europe/Berlin	359043379931766841
-32.45242	-71.23106	La Ligua	CL	America/Santiago	3590433799317661008
55.85	37.56667	Likhobory	RU	Europe/Moscow	3590433799317661727
38.38479	-0.76773	Novelda	ES	Europe/Madrid	8630330696303481222
68.79833	16.54165	Harstad	NO	Europe/Oslo	8630330696303481925
39.96097	-75.60804	West Chester	US	America/New_York	359043379931766239
-7.54972	110.71639	Ngemplak	ID	Asia/Jakarta	3590433799317661081
39.59611	27.02444	Edremit	TR	Europe/Istanbul	359043379931766213
48.77644	2.29026	Sceaux	FR	Europe/Paris	359043379931766122
7.83389	-72.47417	Villa del Rosario	CO	America/Bogota	3590433799317661271
17.06542	-96.72365	Oaxaca	MX	America/Mexico_City	359043379931766833
53.51684	-113.3187	Sherwood Park	CA	America/Edmonton	3590433799317661669
44.27804	-88.27205	Kaukauna	US	America/Chicago	359043379931766668
8.62261	-70.20749	Barinas	VE	America/Caracas	8630330696303482204
37.73604	-120.93549	Riverbank	US	America/Los_Angeles	359043379931766247
52.66277	-2.01111	Great Wyrley	GB	Europe/London	3590433799317661404
48.77644	2.29026	Sceaux	FR	Europe/Paris	359043379931766015
40.87329	14.43865	Somma Vesuviana	IT	Europe/Rome	3590433799317662105
41.48199	-81.79819	Lakewood	US	America/New_York	863033069630348370
54.8421	46.5813	Alatyr’	RU	Europe/Moscow	863033069630348651
52.4089	31.3237	Dobrush	BY	Europe/Minsk	359043379931766635
42.35843	-71.05977	Boston	US	America/New_York	3590433799317661214
10.63504	-85.43772	Liberia	CR	America/Costa_Rica	8630330696303481529
6.46346	-2.31938	Bibiani	GH	Africa/Accra	359043379931766643
54.60528	18.34717	Reda	PL	Europe/Warsaw	8630330696303482352
38.96372	-76.99081	Chillum	US	America/New_York	3590433799317661560
40.70995	0.57856	Amposta	ES	Europe/Madrid	863033069630348420
-38.65333	178.00417	Gisborne	NZ	Pacific/Auckland	3590433799317661412
8.88988	-79.62603	Veracruz	PA	America/Panama	863033069630348818
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	863033069630348693
6.46838	-73.26022	Socorro	CO	America/Bogota	359043379931766098
34.81667	137.4	Toyokawa	JP	Asia/Tokyo	863033069630348826
-16.25	-69.08333	Yunguyo	PE	America/Lima	3590433799317662279
55.82737	-4.0573	Viewpark	GB	Europe/London	3590433799317661628
53.0233	-1.48119	Belper	GB	Europe/London	8630330696303481610
