ts	imei	mwra	p.android.packageinstaller	p.system	p.android.documentsui	p.android.chrome	p.android.settings	p.android.gm	p.android.externalstorage	p.android.defcontainer	p.android.vending	p.inputmethod.latin	p.dogalize	p.process.gapps	p.simulator	p.katana	p.android.gms	p.google	p.olauncher	p.browser.provider	p.notifier	p.gms.persistent
2018-05-05 10:00:00	3590433799317662188	1.00000	11.77585	13.10274	11.32035	14.79679	14.39938	14.30820	14.71560	66.54938	0.00441	41.98624	95.23250	99.55387	82.64951	55.62534	43.73958	28.79282	8.22474	73.26391	25.28004	86.66346
2018-05-05 10:01:00	3590433799317662394	1.00000	10.08300	14.07492	7.06121	13.42590	11.51973	15.31808	10.26026	60.35785	0.00483	67.75873	73.67809	55.93619	27.33158	68.28812	67.18486	19.40350	19.26265	58.69464	90.54099	33.10194
2018-05-05 10:02:00	3590433799317661834	0.00000	14.99637	7.37201	14.69521	5.94403	12.33770	12.90814	12.31617	62.02077	0.00715	54.94546	49.43847	92.96630	54.04233	25.01599	57.15110	60.38043	16.88231	55.62452	16.82005	81.58652
2018-05-05 10:03:00	8630330696303481289	0.00000	14.76022	9.85944	13.75118	7.17803	14.33403	11.99134	11.48915	52.76943	0.00271	37.27468	71.37356	8.34277	87.09809	5.21806	98.58641	97.22889	37.30215	68.75315	26.44336	79.98101
2018-05-05 10:04:00	8630330696303481149	0.00000	11.88195	11.32414	11.61858	11.65522	14.65559	10.64599	14.80087	71.21007	0.00210	65.29513	14.58892	27.72954	81.20459	22.42807	25.06680	73.26831	43.72205	78.80356	16.55350	75.03307
2018-05-05 10:05:00	3590433799317661057	0.00000	14.24188	9.59206	11.94865	8.43326	14.95038	11.47194	10.75257	46.76916	0.00112	40.71865	34.39702	47.18528	71.22617	74.87669	25.05158	30.12704	21.53436	70.70376	76.29620	86.60223
2018-05-05 10:06:00	8630330696303481305	0.00000	18.22504	8.93194	14.63148	8.49389	15.80823	9.39340	11.19060	57.51809	0.00101	40.10809	74.39357	72.34379	38.42434	42.76414	44.43041	73.12641	59.75494	10.25082	91.82005	78.89947
2018-05-05 10:07:00	359043379931766403	1.00000	9.04636	12.40705	8.86170	12.60925	14.02648	13.55842	9.14105	44.00809	0.12767	64.67527	40.12253	79.40594	66.52256	4.93991	10.88928	95.44457	76.58393	27.64033	43.75113	35.30043
2018-05-05 10:08:00	359043379931766122	1.00000	11.06178	7.39449	10.79980	13.91713	8.97699	18.07278	10.27753	31.04286	0.11277	40.89129	64.93500	58.24953	61.07046	56.35773	24.25746	82.85584	75.35464	29.14578	93.11713	74.65346
2018-05-05 10:09:00	8630330696303482410	0.00000	15.50605	10.06573	11.72864	10.22359	15.73322	9.91484	14.80093	41.19991	0.00018	62.05147	14.33490	37.47490	20.01591	84.08527	16.59006	35.25083	31.39179	37.05610	2.73062	45.75891
2018-05-05 10:10:00	863033069630348529	1.00000	11.63651	8.42243	10.56110	12.97515	12.49827	12.27362	9.42460	44.35614	0.03868	38.63897	71.76543	30.05509	10.47960	54.40602	75.09680	59.18651	9.23802	69.77774	96.13995	5.05253
2018-05-05 10:11:00	359043379931766171	0.00000	11.34674	16.04925	12.20479	13.10860	13.99502	11.16681	15.90686	71.89908	0.00013	40.36679	30.06902	20.42849	22.40087	85.58508	67.54297	37.56243	95.65696	61.92805	17.59123	98.80351
2018-05-05 10:12:00	863033069630348180	1.00000	6.68088	13.09545	8.86511	16.62536	16.87087	14.92147	11.30110	77.71943	1.70949	52.72044	39.97670	53.07412	79.87627	55.68424	5.36781	58.59275	93.25536	51.27060	2.91134	40.47700
2018-05-05 10:13:00	8630330696303482030	0.00000	8.82891	6.16980	10.32678	12.74834	10.61686	13.70158	12.42030	51.33260	0.00604	58.35651	72.10391	52.30510	64.64489	61.20292	87.58334	46.13031	69.19294	44.03999	86.22023	41.50443
2018-05-05 10:14:00	359043379931766361	1.00000	12.25088	11.75279	12.60174	14.70872	13.15431	15.63599	15.79955	56.28603	0.00182	33.53957	55.34084	50.39919	58.74603	78.77014	45.07561	43.62680	17.63248	77.81909	90.27552	70.20850
2018-05-05 10:15:00	3590433799317662246	1.00000	8.87642	12.55117	9.67093	11.73468	11.16086	15.70191	12.91462	58.52877	0.00018	55.58327	49.68752	48.95259	93.65187	16.17092	93.03458	51.62219	6.27352	57.68377	69.93677	84.80440
2018-05-05 10:16:00	8630330696303481537	1.00000	12.09825	10.71398	10.47381	15.75756	14.01723	13.33409	12.19730	57.69634	0.01055	57.41159	98.61365	67.72617	53.22758	92.01742	43.56692	94.66783	53.12286	23.38742	18.37347	64.91775
2018-05-05 10:17:00	863033069630348537	1.00000	11.52251	12.64011	11.87426	14.12394	14.54662	13.68304	13.36058	20.14988	0.00050	68.90927	30.24127	89.25833	38.63480	50.95184	31.26816	79.25247	10.27357	53.65468	94.81156	78.29752
2018-05-05 10:18:00	359043379931766825	1.00000	10.33958	13.44948	12.98755	13.80102	13.45273	15.25856	15.21865	46.10756	0.00047	49.13353	51.94407	67.52670	52.39692	70.38870	79.75690	76.90321	66.35336	40.78518	92.12386	27.39979
2018-05-05 10:19:00	8630330696303481263	0.00000	12.29191	11.85150	11.70746	12.42766	15.23708	15.70255	7.12621	51.76380	0.02192	71.62996	60.00533	46.51413	98.13640	58.22260	97.84773	52.22380	94.47116	69.52555	98.52067	41.20119
2018-05-05 10:20:00	3590433799317661255	1.00000	6.62783	9.27431	6.02563	16.62989	10.58282	15.31513	11.06311	35.19547	2.60835	30.80847	70.68662	87.10477	45.03668	83.98948	98.09117	98.86006	26.60113	99.54150	52.04737	16.50111
2018-05-05 10:21:00	359043379931766239	1.00000	9.93658	10.64223	9.06823	13.62138	16.06657	14.66734	11.38724	37.52340	0.00769	52.37236	47.82215	76.91061	94.57446	45.77375	72.98135	43.19227	42.11328	44.36762	59.43185	2.53889
2018-05-05 10:22:00	3590433799317662477	0.00000	15.24874	7.84354	12.11307	8.77099	13.40560	7.74336	12.14802	39.42986	0.01084	59.78421	26.34803	85.69331	10.34941	66.54593	55.63415	43.46368	29.60212	25.83147	73.80998	84.71240
2018-05-05 10:23:00	8630330696303482386	1.00000	16.98353	9.39244	10.24230	7.79125	11.07738	14.94676	7.69040	48.86489	0.02443	35.42279	94.36193	57.98006	73.02750	95.59687	97.36479	59.19623	17.23325	26.36731	71.01650	1.03271
2018-05-05 10:24:00	8630330696303481321	1.00000	8.98383	7.10462	10.60632	17.71510	12.88062	18.21106	11.48997	37.09212	0.30999	48.10629	91.19351	81.32784	76.11887	42.26750	54.82900	32.20506	90.50428	77.07353	65.11875	96.27461
2018-05-05 10:25:00	3590433799317661669	0.00000	13.90441	7.47537	14.45683	10.71988	12.27282	13.07023	11.01760	57.50800	0.00222	53.96895	84.59681	13.93147	74.48585	69.77670	74.65416	5.74492	40.96902	82.86362	23.22658	56.91742
2018-05-05 10:26:00	3590433799317661792	1.00000	9.36249	9.46889	8.55512	13.03755	14.91248	13.12361	10.30387	55.66852	0.07038	51.22664	35.15192	2.20639	80.74616	60.05914	98.21340	80.92014	56.80457	64.78524	70.45668	45.12247
2018-05-05 10:27:00	8630330696303481354	0.00000	16.36402	8.08190	12.52043	6.98718	14.10640	12.16949	10.61411	66.69080	0.00062	57.74569	59.85664	62.92015	26.94418	60.81491	82.02543	7.41933	1.43406	27.07560	68.86956	80.30800
2018-05-05 10:28:00	8630330696303481099	1.00000	9.76694	15.77868	11.95907	13.72942	14.05085	12.48450	13.90769	32.66411	0.00032	61.87679	17.06603	5.00357	34.27552	17.86289	37.51107	15.11814	86.41912	9.11133	41.77300	44.65787
2018-05-05 10:29:00	8630330696303481156	1.00000	10.14066	14.74432	10.82641	15.56843	13.57242	11.03042	13.86910	55.54712	0.00026	25.26887	53.05149	9.35460	81.25698	0.71562	15.75886	5.57539	61.82142	29.36991	61.03859	66.32364
2018-05-05 10:30:00	8630330696303481008	1.00000	9.39914	14.09432	10.62426	13.15070	13.45981	10.08479	14.70457	48.93889	0.00021	57.69223	79.02593	38.32508	40.41786	35.33613	99.39342	54.30081	81.28116	31.32457	82.88816	14.59326
2018-05-05 10:31:00	8630330696303481875	0.00000	13.19476	9.10356	14.31359	9.99027	12.35510	7.73799	14.63311	49.98107	0.00048	77.29337	27.23902	11.94304	45.28150	66.46626	3.58827	62.68204	36.73637	11.41246	27.90022	41.94089
2018-05-05 10:32:00	863033069630348966	1.00000	5.64682	11.76256	6.57733	13.92272	13.60039	8.48642	9.64370	51.77963	0.04825	52.39783	5.47486	79.53470	23.92703	37.93718	14.14829	4.28711	16.66080	68.91200	17.49354	93.34988
2018-05-05 10:33:00	3590433799317661412	1.00000	10.26758	12.06986	9.89910	15.25499	13.98801	15.29549	9.54734	52.99997	0.29161	71.59097	28.70062	3.70203	55.69819	10.82483	68.04023	94.83490	13.75271	5.19380	0.85353	63.54529
2018-05-05 10:34:00	3590433799317661719	1.00000	9.51119	11.56452	11.03416	12.91708	15.42227	12.93503	9.81204	52.16646	0.05603	38.99638	23.46902	64.95257	52.46393	81.45116	76.06036	95.74608	23.37766	21.91669	97.96459	66.27755
2018-05-05 10:35:00	359043379931766684	1.00000	11.26162	15.28758	9.95844	15.59648	14.67211	9.32747	14.75257	55.66086	0.00502	39.78994	2.80733	24.36826	72.80979	10.17673	49.26950	56.79521	1.79891	29.04809	81.57335	69.32931
2018-05-05 10:36:00	359043379931766262	0.00000	12.82643	8.09980	13.81592	12.24239	14.55102	14.54459	11.00391	87.50990	0.00034	58.28563	71.48751	34.43609	16.00837	79.95881	13.30715	16.18299	11.10830	31.75550	79.92684	7.93827
2018-05-05 10:37:00	3590433799317661297	0.00000	10.35681	13.37600	11.29265	14.55589	15.15624	14.49891	6.45065	53.94344	0.00173	64.19023	25.64292	61.35034	40.74945	80.42698	28.49281	88.72863	66.93122	43.03245	47.01835	39.89041
2018-05-05 10:38:00	863033069630348099	0.00000	15.02897	9.42915	12.02461	11.31342	12.34147	6.85210	15.20499	43.96891	0.01344	38.36358	69.00593	76.36416	13.51367	82.39883	98.14083	62.33829	78.24780	1.36424	78.95611	97.31300
